,airy,calm,dark,deep,different,eerie,happy,light,loud,low,mellow,quiet,sad,scary,soft,strange
841,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
845,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
869,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
876,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
878,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
880,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
890,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
910,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
921,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
935,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
976,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
988,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1032,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1042,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1083,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1127,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1211,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1213,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1236,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1237,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
1238,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1257,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1270,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1293,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1319,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1322,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1361,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1389,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1410,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1432,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1434,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1446,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1451,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1468,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1485,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1502,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1503,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1504,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1530,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1531,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1543,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1626,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1671,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1687,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1695,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1697,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1698,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1712,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1718,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1740,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1745,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1761,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1774,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1869,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1874,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1877,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
1910,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1931,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1947,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1966,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
1967,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1978,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
1979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1980,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1989,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2043,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2073,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2085,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2093,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2125,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
2126,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2127,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2183,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2192,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2193,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2194,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2195,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2211,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2274,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2314,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2383,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
