,instrumental,singing
445,0.0,1.0
446,0.0,1.0
448,0.0,1.0
450,0.0,1.0
452,0.0,1.0
453,0.0,1.0
459,1.0,0.0
466,1.0,0.0
471,1.0,0.0
481,1.0,0.0
482,1.0,0.0
483,1.0,0.0
488,1.0,0.0
490,1.0,0.0
492,0.0,1.0
494,0.0,1.0
496,0.0,1.0
505,1.0,0.0
506,1.0,0.0
509,0.0,1.0
510,0.0,1.0
522,0.0,1.0
523,0.0,1.0
524,0.0,1.0
525,0.0,1.0
526,0.0,1.0
527,0.0,1.0
533,0.0,1.0
534,0.0,1.0
537,1.0,0.0
540,0.0,1.0
541,1.0,0.0
553,1.0,0.0
559,1.0,0.0
567,1.0,0.0
573,1.0,0.0
584,0.0,1.0
594,1.0,0.0
599,1.0,0.0
600,1.0,0.0
602,0.0,1.0
603,0.0,1.0
604,0.0,1.0
607,1.0,0.0
613,1.0,0.0
625,1.0,0.0
635,0.0,1.0
636,0.0,1.0
638,1.0,0.0
639,0.0,1.0
640,0.0,1.0
641,0.0,1.0
645,1.0,0.0
647,1.0,0.0
648,1.0,0.0
653,0.0,1.0
654,0.0,1.0
657,0.0,1.0
660,1.0,0.0
665,1.0,0.0
676,0.0,1.0
679,0.0,1.0
680,0.0,1.0
681,0.0,1.0
682,0.0,1.0
683,0.0,1.0
685,0.0,1.0
690,0.0,1.0
691,0.0,1.0
692,0.0,1.0
694,0.0,1.0
706,0.0,1.0
707,0.0,1.0
708,0.0,1.0
709,0.0,1.0
710,0.0,1.0
712,0.0,1.0
716,0.0,1.0
717,1.0,1.0
718,0.0,1.0
719,0.0,1.0
723,0.0,1.0
734,0.0,1.0
735,0.0,1.0
736,0.0,1.0
737,1.0,0.0
744,1.0,0.0
755,1.0,0.0
759,0.0,1.0
760,0.0,1.0
761,0.0,1.0
762,0.0,1.0
764,0.0,1.0
765,0.0,1.0
769,0.0,1.0
771,0.0,1.0
772,0.0,1.0
780,0.0,1.0
781,0.0,1.0
785,0.0,1.0
786,0.0,1.0
787,0.0,1.0
789,1.0,0.0
798,1.0,0.0
805,1.0,0.0
807,1.0,0.0
808,1.0,0.0
813,1.0,0.0
821,1.0,0.0
825,1.0,0.0
826,1.0,0.0
833,0.0,1.0
835,1.0,0.0
843,1.0,0.0
845,1.0,0.0
848,0.0,1.0
849,0.0,1.0
851,0.0,1.0
854,0.0,1.0
857,1.0,0.0
862,0.0,1.0
871,1.0,0.0
876,1.0,0.0
880,1.0,0.0
888,0.0,1.0
892,0.0,1.0
893,0.0,1.0
894,0.0,1.0
898,1.0,0.0
901,1.0,0.0
904,0.0,1.0
913,1.0,0.0
916,1.0,0.0
918,0.0,1.0
923,0.0,1.0
926,1.0,0.0
929,0.0,1.0
930,0.0,1.0
932,0.0,1.0
935,0.0,1.0
938,0.0,1.0
939,0.0,1.0
940,0.0,1.0
944,0.0,1.0
946,1.0,0.0
949,1.0,0.0
963,1.0,0.0
966,0.0,1.0
968,0.0,1.0
970,0.0,1.0
971,0.0,1.0
972,1.0,0.0
973,1.0,0.0
977,1.0,0.0
979,1.0,0.0
984,1.0,0.0
995,0.0,1.0
996,0.0,1.0
999,0.0,1.0
1001,0.0,1.0
1003,1.0,0.0
1005,0.0,1.0
1022,1.0,0.0
1023,1.0,0.0
1027,0.0,1.0
1031,0.0,1.0
1032,0.0,1.0
1033,0.0,1.0
1039,0.0,1.0
1040,0.0,1.0
1053,1.0,0.0
1054,1.0,0.0
1057,1.0,0.0
1069,0.0,1.0
1071,0.0,1.0
1072,0.0,1.0
1073,0.0,1.0
1074,0.0,1.0
1075,0.0,1.0
1076,0.0,1.0
1078,1.0,0.0
1083,1.0,0.0
1084,1.0,0.0
1089,1.0,0.0
1094,1.0,0.0
1097,1.0,0.0
1101,0.0,1.0
1102,1.0,1.0
1103,0.0,1.0
1105,1.0,0.0
1106,0.0,1.0
1107,0.0,1.0
1109,1.0,0.0
1119,1.0,0.0
1121,1.0,0.0
1130,0.0,1.0
1132,0.0,1.0
1134,0.0,1.0
1135,0.0,1.0
1136,0.0,1.0
1137,0.0,1.0
1138,0.0,1.0
1139,0.0,1.0
1141,0.0,1.0
1145,0.0,1.0
1149,1.0,0.0
1154,0.0,1.0
1156,0.0,1.0
1157,0.0,1.0
1158,0.0,1.0
1160,0.0,1.0
1162,0.0,1.0
1166,0.0,1.0
1167,0.0,1.0
1168,0.0,1.0
1174,1.0,0.0
1185,1.0,0.0
1194,1.0,0.0
1212,1.0,0.0
1232,0.0,1.0
1233,0.0,1.0
1238,1.0,0.0
1246,1.0,0.0
1252,0.0,1.0
1258,1.0,0.0
1265,0.0,1.0
1267,1.0,0.0
1268,0.0,1.0
1269,0.0,1.0
1270,0.0,1.0
1271,0.0,1.0
1281,1.0,0.0
1286,1.0,0.0
1289,1.0,0.0
1295,1.0,0.0
1297,1.0,0.0
1300,1.0,0.0
1302,1.0,0.0
1305,0.0,1.0
1308,0.0,1.0
1311,0.0,1.0
1313,0.0,1.0
1314,0.0,1.0
1315,0.0,1.0
1319,0.0,1.0
1320,0.0,1.0
1321,0.0,1.0
1325,0.0,1.0
1326,0.0,1.0
1328,0.0,1.0
1340,1.0,1.0
1341,1.0,0.0
1344,0.0,1.0
1346,0.0,1.0
1348,0.0,1.0
1349,0.0,1.0
1360,1.0,0.0
1364,1.0,0.0
1368,1.0,0.0
1372,1.0,0.0
1389,1.0,0.0
1390,1.0,0.0
1392,1.0,0.0
1395,0.0,1.0
1396,0.0,1.0
1400,1.0,0.0
1402,0.0,1.0
1413,1.0,0.0
1423,0.0,1.0
1425,0.0,1.0
1434,1.0,0.0
1438,0.0,1.0
1441,0.0,1.0
1442,0.0,1.0
1444,0.0,1.0
1448,1.0,0.0
1451,1.0,0.0
1452,0.0,1.0
1453,0.0,1.0
1454,0.0,1.0
1455,1.0,0.0
1456,1.0,0.0
1459,1.0,0.0
1476,1.0,0.0
1485,1.0,0.0
1489,1.0,0.0
1492,1.0,0.0
1493,1.0,0.0
1494,1.0,0.0
1502,0.0,1.0
1503,0.0,1.0
1504,0.0,1.0
1505,0.0,1.0
1511,0.0,1.0
1513,0.0,1.0
1527,1.0,0.0
1531,0.0,1.0
1532,0.0,1.0
1541,1.0,0.0
1546,1.0,0.0
1549,1.0,0.0
1552,1.0,0.0
1569,1.0,0.0
1580,1.0,0.0
1581,0.0,1.0
1588,0.0,1.0
1589,0.0,1.0
1591,0.0,1.0
1593,0.0,1.0
1596,0.0,1.0
1598,0.0,1.0
1600,1.0,1.0
1601,0.0,1.0
1611,0.0,1.0
1626,1.0,0.0
1634,1.0,0.0
1645,1.0,0.0
1654,1.0,0.0
1658,1.0,0.0
1687,1.0,0.0
1697,1.0,0.0
1717,1.0,0.0
1725,1.0,0.0
1733,1.0,0.0
1738,1.0,0.0
1744,1.0,0.0
1746,1.0,0.0
1755,1.0,0.0
1779,1.0,0.0
1786,1.0,0.0
1795,1.0,0.0
1796,1.0,0.0
1804,1.0,0.0
1805,1.0,0.0
1807,1.0,0.0
1825,1.0,0.0
1826,0.0,1.0
1828,0.0,1.0
1835,1.0,0.0
1841,1.0,0.0
1855,0.0,1.0
1870,1.0,0.0
1874,0.0,1.0
1875,0.0,1.0
1881,1.0,0.0
1887,0.0,1.0
1911,0.0,1.0
1923,0.0,1.0
1924,0.0,1.0
1926,0.0,1.0
1927,0.0,1.0
1928,0.0,1.0
1930,1.0,0.0
1931,1.0,0.0
1934,1.0,0.0
1937,1.0,0.0
1938,1.0,0.0
1948,1.0,0.0
1956,1.0,0.0
1961,0.0,1.0
1963,0.0,1.0
1964,0.0,1.0
1972,1.0,0.0
1988,1.0,0.0
1989,1.0,0.0
1993,1.0,0.0
2003,0.0,1.0
2004,0.0,1.0
2005,0.0,1.0
2006,0.0,1.0
2014,0.0,1.0
2017,0.0,1.0
2018,0.0,1.0
2020,0.0,1.0
2021,0.0,1.0
2023,0.0,1.0
2024,1.0,0.0
2028,1.0,0.0
2031,1.0,0.0
2033,0.0,1.0
2034,0.0,1.0
2036,0.0,1.0
2038,0.0,1.0
2044,0.0,1.0
2045,0.0,1.0
2047,1.0,0.0
2048,1.0,0.0
2050,1.0,0.0
2058,1.0,0.0
2064,1.0,0.0
2085,1.0,0.0
2093,1.0,0.0
2099,1.0,0.0
2100,1.0,0.0
2115,1.0,0.0
2116,1.0,0.0
2117,0.0,1.0
2120,0.0,1.0
2121,1.0,0.0
2148,1.0,0.0
2152,1.0,0.0
2162,1.0,0.0
2164,1.0,0.0
2175,1.0,0.0
2181,1.0,0.0
2183,1.0,0.0
2193,1.0,0.0
2197,1.0,0.0
2199,1.0,0.0
2205,0.0,1.0
2211,0.0,1.0
2213,0.0,1.0
2214,0.0,1.0
2215,1.0,0.0
2217,0.0,1.0
2219,0.0,1.0
2221,0.0,1.0
2223,0.0,1.0
2230,0.0,1.0
2232,0.0,1.0
2235,0.0,1.0
2236,0.0,1.0
2237,0.0,1.0
2247,1.0,0.0
2248,1.0,0.0
2258,0.0,1.0
2259,0.0,1.0
2264,0.0,1.0
2265,0.0,1.0
2266,0.0,1.0
2282,1.0,0.0
2288,1.0,0.0
2291,0.0,1.0
2297,1.0,0.0
2298,0.0,1.0
2299,0.0,1.0
2302,0.0,1.0
2306,0.0,1.0
2307,0.0,1.0
2309,1.0,0.0
2315,1.0,0.0
2317,1.0,0.0
2323,0.0,1.0
2324,1.0,0.0
2330,1.0,0.0
2332,0.0,1.0
2335,0.0,1.0
2336,0.0,1.0
2337,0.0,1.0
2338,0.0,1.0
2340,0.0,1.0
2341,0.0,1.0
2343,0.0,1.0
2344,0.0,1.0
2345,0.0,1.0
2346,0.0,1.0
2347,0.0,1.0
2348,0.0,1.0
2349,0.0,1.0
2351,0.0,1.0
2355,0.0,1.0
2357,0.0,1.0
2358,0.0,1.0
2364,1.0,0.0
2366,1.0,0.0
2368,1.0,0.0
2373,0.0,1.0
2375,0.0,1.0
2379,0.0,1.0
2380,0.0,1.0
2386,0.0,1.0
2387,1.0,0.0
2389,0.0,1.0
2393,0.0,1.0
2398,1.0,0.0
2401,1.0,0.0
2410,0.0,1.0
2411,0.0,1.0
2412,0.0,1.0
2441,0.0,1.0
2442,0.0,1.0
2443,0.0,1.0
2444,0.0,1.0
2445,0.0,1.0
2451,0.0,1.0
2452,1.0,0.0
2455,1.0,0.0
2458,1.0,0.0
2459,1.0,0.0
2463,1.0,0.0
2464,0.0,1.0
2465,0.0,1.0
2468,1.0,0.0
2470,1.0,0.0
2471,1.0,0.0
2475,1.0,0.0
2480,1.0,0.0
2484,1.0,0.0
2494,1.0,0.0
2495,1.0,0.0
2499,1.0,0.0
2508,1.0,0.0
2511,1.0,0.0
2513,1.0,0.0
2518,1.0,0.0
2541,1.0,1.0
2542,1.0,0.0
2548,1.0,0.0
2549,0.0,1.0
2551,1.0,0.0
2553,0.0,1.0
2554,0.0,1.0
2555,0.0,1.0
2559,1.0,0.0
2562,0.0,1.0
2563,0.0,1.0
2564,0.0,1.0
2579,1.0,0.0
2586,0.0,1.0
2590,1.0,0.0
2594,0.0,1.0
2595,0.0,1.0
2596,0.0,1.0
2606,1.0,0.0
2611,1.0,0.0
2618,0.0,1.0
2619,0.0,1.0
2620,0.0,1.0
2626,0.0,1.0
2627,0.0,1.0
2629,1.0,0.0
2633,1.0,0.0
2637,1.0,0.0
2638,1.0,0.0
2646,1.0,0.0
2661,0.0,1.0
2664,0.0,1.0
2665,0.0,1.0
2666,0.0,1.0
2667,0.0,1.0
2669,0.0,1.0
2670,0.0,1.0
2671,0.0,1.0
2678,0.0,1.0
2681,0.0,1.0
2684,0.0,1.0
2685,0.0,1.0
2688,0.0,1.0
2690,1.0,0.0
2694,1.0,0.0
2696,0.0,1.0
2697,0.0,1.0
2699,0.0,1.0
2700,0.0,1.0
2708,0.0,1.0
2710,0.0,1.0
2718,0.0,1.0
2726,1.0,0.0
2729,0.0,1.0
2733,0.0,1.0
2734,1.0,0.0
2735,0.0,1.0
2736,0.0,1.0
2737,0.0,1.0
2739,1.0,0.0
2749,1.0,0.0
2758,0.0,1.0
2760,0.0,1.0
2761,0.0,1.0
2763,1.0,0.0
2767,0.0,1.0
2771,1.0,0.0
2789,1.0,0.0
2794,1.0,0.0
2810,0.0,1.0
2815,1.0,0.0
2817,1.0,0.0
2818,0.0,1.0
2821,1.0,0.0
2829,1.0,0.0
2830,0.0,1.0
2831,0.0,1.0
2832,0.0,1.0
2833,0.0,1.0
2834,0.0,1.0
2835,0.0,1.0
2837,0.0,1.0
2838,0.0,1.0
2839,0.0,1.0
2841,0.0,1.0
2842,0.0,1.0
2843,0.0,1.0
2857,0.0,1.0
2858,0.0,1.0
2859,0.0,1.0
2863,0.0,1.0
2864,0.0,1.0
2865,0.0,1.0
2867,0.0,1.0
2885,1.0,0.0
2888,1.0,0.0
2891,0.0,1.0
2895,0.0,1.0
2898,0.0,1.0
2905,1.0,0.0
2915,1.0,0.0
2917,1.0,0.0
2918,1.0,0.0
2919,1.0,0.0
2920,1.0,0.0
2922,1.0,0.0
2924,0.0,1.0
2925,0.0,1.0
2926,0.0,1.0
2927,0.0,1.0
2932,0.0,1.0
2937,0.0,1.0
2938,0.0,1.0
2940,0.0,1.0
2941,0.0,1.0
2950,0.0,1.0
2952,0.0,1.0
2957,0.0,1.0
2961,0.0,1.0
2962,0.0,1.0
2964,0.0,1.0
2965,0.0,1.0
2966,0.0,1.0
2967,0.0,1.0
2969,1.0,0.0
2976,1.0,0.0
2983,0.0,1.0
2984,0.0,1.0
2985,0.0,1.0
2990,0.0,1.0
2993,0.0,1.0
3002,1.0,1.0
3004,0.0,1.0
3005,1.0,1.0
3007,0.0,1.0
3008,0.0,1.0
3009,0.0,1.0
3012,0.0,1.0
3015,0.0,1.0
3024,1.0,0.0
3025,0.0,1.0
3026,0.0,1.0
3027,0.0,1.0
3029,0.0,1.0
3031,0.0,1.0
3032,0.0,1.0
3033,0.0,1.0
3034,0.0,1.0
3039,1.0,0.0
3055,1.0,0.0
3070,1.0,0.0
3071,1.0,0.0
3072,1.0,0.0
3074,1.0,0.0
3077,1.0,0.0
3081,1.0,0.0
3083,1.0,0.0
3086,1.0,0.0
3088,0.0,1.0
3089,0.0,1.0
3090,0.0,1.0
3091,0.0,1.0
3093,0.0,1.0
3094,0.0,1.0
3095,0.0,1.0
3097,0.0,1.0
3099,0.0,1.0
3102,0.0,1.0
3103,0.0,1.0
3105,0.0,1.0
3106,1.0,1.0
3110,1.0,0.0
3117,0.0,1.0
3118,0.0,1.0
3119,0.0,1.0
3120,0.0,1.0
3123,1.0,0.0
3136,1.0,0.0
3141,0.0,1.0
3142,1.0,1.0
3144,0.0,1.0
3148,0.0,1.0
3149,0.0,1.0
3150,0.0,1.0
3152,0.0,1.0
3153,0.0,1.0
3158,0.0,1.0
3159,0.0,1.0
3160,0.0,1.0
3172,1.0,0.0
3174,1.0,0.0
3178,1.0,0.0
3184,1.0,0.0
3187,1.0,0.0
3192,1.0,0.0
3199,1.0,0.0
3204,1.0,0.0
3207,1.0,0.0
3208,1.0,0.0
3212,0.0,1.0
3214,0.0,1.0
3217,0.0,1.0
3222,0.0,1.0
3224,0.0,1.0
3233,0.0,1.0
3234,0.0,1.0
3241,0.0,1.0
3258,1.0,0.0
3268,1.0,0.0
3279,0.0,1.0
3281,0.0,1.0
3283,0.0,1.0
3286,0.0,1.0
3288,1.0,1.0
3293,1.0,0.0
3298,1.0,0.0
3307,0.0,1.0
3311,0.0,1.0
3319,0.0,1.0
3320,0.0,1.0
3321,1.0,0.0
3338,0.0,1.0
3340,1.0,0.0
3342,1.0,0.0
3349,1.0,0.0
3350,1.0,0.0
3352,1.0,0.0
3353,1.0,0.0
3358,0.0,1.0
3359,1.0,1.0
3360,0.0,1.0
3362,0.0,1.0
3364,0.0,1.0
3365,0.0,1.0
3366,0.0,1.0
3367,0.0,1.0
3370,1.0,0.0
3372,1.0,0.0
3382,1.0,0.0
3383,1.0,0.0
3403,0.0,1.0
3404,0.0,1.0
3405,0.0,1.0
3407,0.0,1.0
3410,0.0,1.0
3411,0.0,1.0
3413,0.0,1.0
3418,1.0,0.0
3419,0.0,1.0
3420,0.0,1.0
3421,0.0,1.0
3422,0.0,1.0
3423,1.0,0.0
3425,1.0,0.0
3430,1.0,0.0
3435,0.0,1.0
3439,0.0,1.0
3442,0.0,1.0
3448,0.0,1.0
3452,0.0,1.0
3453,1.0,0.0
3460,0.0,1.0
3465,0.0,1.0
3467,1.0,0.0
3472,0.0,1.0
3477,0.0,1.0
3482,0.0,1.0
3486,0.0,1.0
3487,0.0,1.0
3490,0.0,1.0
3491,0.0,1.0
3497,0.0,1.0
3501,0.0,1.0
3504,0.0,1.0
3505,0.0,1.0
3506,0.0,1.0
3508,0.0,1.0
3509,0.0,1.0
3510,0.0,1.0
3511,0.0,1.0
3519,0.0,1.0
3520,0.0,1.0
3521,0.0,1.0
3522,0.0,1.0
3523,0.0,1.0
3525,0.0,1.0
3528,0.0,1.0
3530,0.0,1.0
3540,1.0,0.0
3542,1.0,0.0
3544,1.0,1.0
3549,0.0,1.0
3555,0.0,1.0
3556,0.0,1.0
3558,0.0,1.0
3559,0.0,1.0
3560,0.0,1.0
3561,0.0,1.0
3564,1.0,0.0
3569,1.0,0.0
3580,1.0,1.0
3581,0.0,1.0
3582,0.0,1.0
3584,1.0,0.0
3589,1.0,0.0
3590,1.0,0.0
3596,1.0,0.0
3602,0.0,1.0
3603,0.0,1.0
3605,0.0,1.0
3606,0.0,1.0
3608,1.0,0.0
3609,0.0,1.0
3611,0.0,1.0
3613,0.0,1.0
3614,0.0,1.0
3618,0.0,1.0
3619,0.0,1.0
3622,1.0,0.0
3623,1.0,0.0
3632,1.0,0.0
3641,0.0,1.0
3643,1.0,1.0
3644,0.0,1.0
3651,0.0,1.0
3653,1.0,0.0
3671,1.0,0.0
3673,1.0,0.0
3687,0.0,1.0
3697,1.0,0.0
3699,1.0,0.0
3704,1.0,0.0
3708,0.0,1.0
3710,0.0,1.0
3711,1.0,0.0
3716,0.0,1.0
3721,1.0,0.0
3722,0.0,1.0
3723,1.0,1.0
3724,0.0,1.0
3727,0.0,1.0
3728,0.0,1.0
3731,0.0,1.0
3733,1.0,1.0
3734,0.0,1.0
3735,1.0,0.0
3736,1.0,0.0
3739,0.0,1.0
3740,0.0,1.0
3741,0.0,1.0
3744,0.0,1.0
3745,0.0,1.0
3747,0.0,1.0
3751,0.0,1.0
3753,0.0,1.0
3768,1.0,0.0
3769,1.0,0.0
3771,1.0,0.0
3775,1.0,0.0
3780,0.0,1.0
3785,1.0,0.0
3788,1.0,0.0
3791,1.0,0.0
3793,1.0,0.0
3798,1.0,0.0
3801,0.0,1.0
3803,0.0,1.0
3804,0.0,1.0
3805,1.0,0.0
3806,0.0,1.0
3808,0.0,1.0
3812,1.0,0.0
3813,1.0,0.0
3814,0.0,1.0
3815,0.0,1.0
3817,0.0,1.0
3819,0.0,1.0
3829,1.0,0.0
3837,1.0,0.0
3846,0.0,1.0
3847,0.0,1.0
3849,0.0,1.0
3850,0.0,1.0
3857,0.0,1.0
3858,0.0,1.0
3870,1.0,0.0
3874,1.0,0.0
3892,0.0,1.0
3893,0.0,1.0
3900,1.0,0.0
3902,1.0,0.0
3930,1.0,0.0
3931,1.0,1.0
3933,0.0,1.0
3935,0.0,1.0
3938,0.0,1.0
3940,0.0,1.0
3941,0.0,1.0
3942,0.0,1.0
3957,0.0,1.0
3959,0.0,1.0
3960,0.0,1.0
3962,0.0,1.0
3963,0.0,1.0
3965,0.0,1.0
3966,0.0,1.0
3967,0.0,1.0
3968,0.0,1.0
3969,0.0,1.0
3970,0.0,1.0
3974,0.0,1.0
3975,0.0,1.0
3976,0.0,1.0
3977,1.0,1.0
3985,1.0,0.0
3986,1.0,0.0
3988,1.0,0.0
3989,1.0,0.0
4003,1.0,0.0
4009,1.0,0.0
4016,1.0,0.0
4022,0.0,1.0
4032,0.0,1.0
4033,0.0,1.0
4035,0.0,1.0
4037,0.0,1.0
4038,0.0,1.0
4039,0.0,1.0
4049,1.0,0.0
4052,1.0,0.0
4054,0.0,1.0
4058,1.0,0.0
4061,1.0,0.0
4069,0.0,1.0
4070,0.0,1.0
4071,0.0,1.0
4081,1.0,0.0
4088,0.0,1.0
4089,0.0,1.0
4090,0.0,1.0
4091,0.0,1.0
4092,0.0,1.0
4100,1.0,0.0
4101,1.0,0.0
4103,1.0,0.0
4104,1.0,0.0
4107,1.0,0.0
4110,1.0,0.0
4115,0.0,1.0
4116,0.0,1.0
4120,1.0,0.0
4127,1.0,0.0
4136,1.0,0.0
4146,1.0,0.0
4151,1.0,0.0
4154,1.0,0.0
4170,1.0,0.0
4172,0.0,1.0
4174,0.0,1.0
4175,0.0,1.0
4184,0.0,1.0
4187,1.0,0.0
4189,0.0,1.0
4190,0.0,1.0
4193,0.0,1.0
4194,0.0,1.0
4197,1.0,0.0
4199,0.0,1.0
4211,0.0,1.0
4219,1.0,0.0
4244,1.0,0.0
4246,1.0,0.0
4247,1.0,0.0
4256,1.0,0.0
4283,1.0,0.0
4284,1.0,0.0
4305,1.0,0.0
4319,1.0,0.0
4324,0.0,1.0
4326,1.0,1.0
4328,0.0,1.0
4329,1.0,1.0
4331,0.0,1.0
4339,0.0,1.0
4340,0.0,1.0
4344,1.0,0.0
4364,1.0,0.0
4368,0.0,1.0
4370,0.0,1.0
4371,0.0,1.0
4384,0.0,1.0
4386,0.0,1.0
4387,0.0,1.0
4389,1.0,0.0
4390,1.0,0.0
4391,1.0,0.0
4400,0.0,1.0
4402,0.0,1.0
4403,0.0,1.0
4404,1.0,0.0
4420,1.0,0.0
4421,0.0,1.0
4422,0.0,1.0
4425,0.0,1.0
4426,0.0,1.0
4427,0.0,1.0
4428,0.0,1.0
4438,1.0,0.0
4439,0.0,1.0
4440,0.0,1.0
4444,0.0,1.0
4445,0.0,1.0
4449,1.0,0.0
4468,0.0,1.0
4469,0.0,1.0
4470,0.0,1.0
4471,0.0,1.0
4472,0.0,1.0
4473,0.0,1.0
4475,0.0,1.0
4480,0.0,1.0
4481,0.0,1.0
4484,0.0,1.0
4487,1.0,0.0
4488,1.0,0.0
4492,0.0,1.0
4495,0.0,1.0
4503,1.0,0.0
4515,1.0,0.0
4520,0.0,1.0
4524,1.0,0.0
4539,1.0,0.0
4547,1.0,0.0
4569,1.0,0.0
4574,1.0,0.0
4590,0.0,1.0
4591,0.0,1.0
4592,1.0,0.0
4596,1.0,1.0
4609,1.0,0.0
4615,1.0,1.0
4619,1.0,0.0
4620,1.0,0.0
4621,1.0,0.0
4626,1.0,0.0
4627,0.0,1.0
4628,0.0,1.0
4636,0.0,1.0
4637,0.0,1.0
4638,1.0,0.0
4639,1.0,0.0
4640,0.0,1.0
4644,1.0,0.0
4645,0.0,1.0
4647,1.0,0.0
4648,0.0,1.0
4650,0.0,1.0
4657,0.0,1.0
4658,0.0,1.0
4671,0.0,1.0
4688,1.0,0.0
4689,0.0,1.0
4690,0.0,1.0
4691,0.0,1.0
4695,1.0,0.0
4696,1.0,0.0
4700,1.0,0.0
4706,1.0,0.0
4710,1.0,0.0
4711,1.0,0.0
4728,0.0,1.0
4729,0.0,1.0
4731,0.0,1.0
4733,0.0,1.0
4734,0.0,1.0
4735,0.0,1.0
4736,0.0,1.0
4739,0.0,1.0
4744,1.0,0.0
4747,1.0,0.0
4748,0.0,1.0
4749,0.0,1.0
4751,0.0,1.0
4768,1.0,0.0
4769,1.0,0.0
4770,1.0,0.0
4772,1.0,0.0
4778,1.0,0.0
4780,1.0,0.0
4781,1.0,0.0
4783,0.0,1.0
4784,0.0,1.0
4785,0.0,1.0
4786,0.0,1.0
4787,0.0,1.0
4788,0.0,1.0
4795,1.0,0.0
4803,0.0,1.0
4805,0.0,1.0
4806,0.0,1.0
4815,0.0,1.0
4816,0.0,1.0
4817,0.0,1.0
4818,0.0,1.0
4820,0.0,1.0
4821,0.0,1.0
4822,0.0,1.0
4825,1.0,1.0
4826,0.0,1.0
4833,1.0,0.0
4837,0.0,1.0
4841,1.0,0.0
4847,1.0,0.0
4854,0.0,1.0
4855,0.0,1.0
4857,0.0,1.0
4858,0.0,1.0
4860,1.0,0.0
4861,0.0,1.0
4867,0.0,1.0
4868,0.0,1.0
4869,1.0,0.0
4872,1.0,0.0
4877,0.0,1.0
4878,0.0,1.0
4893,1.0,0.0
4897,1.0,0.0
4898,1.0,0.0
4907,1.0,0.0
4908,1.0,0.0
4911,1.0,0.0
4920,1.0,0.0
4922,1.0,0.0
4942,1.0,0.0
4945,1.0,0.0
4948,1.0,0.0
4952,0.0,1.0
4953,0.0,1.0
4954,0.0,1.0
4955,0.0,1.0
4958,0.0,1.0
4959,1.0,0.0
4970,0.0,1.0
4971,0.0,1.0
4972,0.0,1.0
4982,1.0,0.0
4986,0.0,1.0
4992,1.0,0.0
4993,0.0,1.0
4997,0.0,1.0
4998,0.0,1.0
4999,0.0,1.0
5000,0.0,1.0
5001,0.0,1.0
5002,0.0,1.0
5003,0.0,1.0
5004,0.0,1.0
5007,0.0,1.0
5009,0.0,1.0
5011,0.0,1.0
5012,1.0,0.0
5018,0.0,1.0
5019,0.0,1.0
5021,1.0,0.0
5027,0.0,1.0
5031,0.0,1.0
5033,0.0,1.0
5034,0.0,1.0
5037,0.0,1.0
5039,0.0,1.0
5045,1.0,0.0
5047,1.0,0.0
5049,0.0,1.0
5050,0.0,1.0
5052,0.0,1.0
5078,0.0,1.0
5080,0.0,1.0
5087,1.0,0.0
