,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
13191,28872,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/jamie_janover-now_center_of_time-06-septennial_constellations-494-523.mp3,6,Septennial Constellations,Jamie Janover,Now Center of Time,http://www.magnatune.com/artists/albums/janover-nowcenter/,494,523,http://he3.magnatune.com/all/06-Septennial%20Constellations-Jamie%20Janover.mp3
22688,50003,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/lisa_debenedictis-tigers-13-girl_and_supergirl-291-320.mp3,13,Girl and Supergirl,Lisa DeBenedictis,Tigers,http://www.magnatune.com/artists/albums/debenedictis-tigers/,291,320,http://he3.magnatune.com/all/13-Girl%20and%20Supergirl-Lisa%20DeBenedictis.mp3
21321,46797,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/professor_armchair-too_much_mustard-11-something_doing-59-88.mp3,11,Something Doing,Professor Armchair,Too Much Mustard,http://www.magnatune.com/artists/albums/armchair-octopants/,59,88,http://he3.magnatune.com/all/11-Something%20Doing-Professor%20Armchair.mp3
2920,6314,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/stargarden-step_off-02-bounced-407-436.mp3,2,Bounced,Stargarden,Step Off,http://www.magnatune.com/artists/albums/stargarden-stepoff/,407,436,http://he3.magnatune.com/all/02-Bounced-Stargarden.mp3
17500,38371,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-09-sonata_no_1_in_f_major_andante_thomas_arne-88-117.mp3,9,-Sonata No 1 in F Major_ Andante (Thomas Arne)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,88,117,http://he3.magnatune.com/all/09--Sonata%20No%201%20in%20F%20Major_%20Andante%20(Thomas%20Arne)--Steven%20Devine.mp3
12340,27140,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/american_baroque-mozart_4_quartets_for_strings_and_winds-06-flute_quartet_in_c_k285b__allegro-146-175.mp3,6,Flute Quartet in C (K285b) - Allegro,American Baroque,Mozart 4 Quartets for Strings and Winds,http://www.magnatune.com/artists/albums/abaroque-mozart/,146,175,http://he3.magnatune.com/all/06-Flute%20Quartet%20in%20C%20(K285b)%20-%20Allegro-American%20Baroque.mp3
25770,58525,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_baroque-dances_and_suites_of_rameau_and_couperin-30-air_vif_de_lacdemoniens_suite_in_d_from_les_fetes_dhebe_rameau-0-29.mp3,30,Air vif de lacdemoniens Suite in D from Les Fetes D'Hebe (Rameau),American Baroque,Dances and Suites of Rameau and Couperin,http://www.magnatune.com/artists/albums/abaroque-rameau/,0,29,http://he3.magnatune.com/all/30-Air%20vif%20de%20lacdemoniens%20Suite%20in%20D%20from%20Les%20Fetes%20D'Hebe%20(Rameau)-American%20Baroque.mp3
19781,43498,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/american_baroque-mozart_4_quartets_for_strings_and_winds-10-oboe_quartet_in_f_after_k496__allegretto-146-175.mp3,10,Oboe Quartet in F after K496 - Allegretto,American Baroque,Mozart 4 Quartets for Strings and Winds,http://www.magnatune.com/artists/albums/abaroque-mozart/,146,175,http://he3.magnatune.com/all/10-Oboe%20Quartet%20in%20F%20after%20K496%20-%20Allegretto-American%20Baroque.mp3
21323,46799,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/professor_armchair-too_much_mustard-11-something_doing-117-146.mp3,11,Something Doing,Professor Armchair,Too Much Mustard,http://www.magnatune.com/artists/albums/armchair-octopants/,117,146,http://he3.magnatune.com/all/11-Something%20Doing-Professor%20Armchair.mp3
14340,31464,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/seth_and_maryse_carlin-schubert__music_for_fortepiano_four_hands-07-fantasie_in_f_minor__allegro_vivace-30-59.mp3,7,Fantasie in F minor - allegro vivace,Seth and Maryse Carlin,Schubert - Music for fortepiano four hands,http://www.magnatune.com/artists/albums/carlin-schubertfour/,30,59,http://he3.magnatune.com/all/07-Fantasie%20in%20F%20minor%20-%20allegro%20vivace-Seth%20and%20Maryse%20Carlin.mp3
3701,8160,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-02-lay_down_your_plow-30-59.mp3,2,Lay Down Your Plow,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,30,59,http://he3.magnatune.com/all/02-Lay%20Down%20Your%20Plow-Jag.mp3
5256,11455,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-four_strings-03-all_worn_out-30-59.mp3,3,All Worn Out,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/03-All%20Worn%20Out-Jag.mp3
24082,53523,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-16-baby_dont_say_that-30-59.mp3,16,Baby Don't Say That,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,30,59,http://he3.magnatune.com/all/16-Baby%20Don't%20Say%20That-Jag.mp3
2226,4869,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-01-steam_train-59-88.mp3,1,Steam Train,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,59,88,http://he3.magnatune.com/all/01-Steam%20Train-John%20Williams.mp3
12849,28195,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/john_williams-long_ride_home-06-nothing_lost-59-88.mp3,6,Nothing Lost,John Williams,Long Ride Home,http://www.magnatune.com/artists/albums/williams-long/,59,88,http://he3.magnatune.com/all/06-Nothing%20Lost-John%20Williams.mp3
20889,45944,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-pretty_girl_blues-11-jags_rag-117-146.mp3,11,Jag's Rag,Jag,Pretty Girl Blues,http://www.magnatune.com/artists/albums/jag-prettygirl/,117,146,http://he3.magnatune.com/all/11-Jag's%20Rag-Jag.mp3
14015,30821,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/burnshee_thornside-blues_and_misc-07-city_girls-146-175.mp3,7,City Girls,Burnshee Thornside,Blues and misc,http://www.magnatune.com/artists/albums/burnshee-blues/,146,175,http://he3.magnatune.com/all/07-City%20Girls-Burnshee%20Thornside.mp3
21762,47799,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-12-country_kitchen-0-29.mp3,12,Country Kitchen,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,0,29,http://he3.magnatune.com/all/12-Country%20Kitchen-John%20Williams.mp3
5396,11764,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/magnatune_compilation-rock-03-barbara_leoni_dont_rain_on_my_parade-88-117.mp3,3,Barbara Leoni_ Don't Rain on my Parade,Magnatune Compilation,Rock,http://www.magnatune.com/artists/albums/magnacomp-rock/,88,117,http://he3.magnatune.com/all/03-Barbara%20Leoni_%20Don't%20Rain%20on%20my%20Parade-Magnatune%20Compilation.mp3
13354,29272,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-06-south_austin_blues-146-175.mp3,6,South Austin Blues,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,146,175,http://he3.magnatune.com/all/06-South%20Austin%20Blues-Jag.mp3
12902,28301,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-06-old_man_rocking_chair-59-88.mp3,6,Old Man Rocking Chair,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,59,88,http://he3.magnatune.com/all/06-Old%20Man%20Rocking%20Chair-John%20Williams.mp3
2484,5399,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-01-train_train-146-175.mp3,1,Train Train,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,146,175,http://he3.magnatune.com/all/01-Train%20Train-Jag.mp3
22120,48607,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-12-pearline-117-146.mp3,12,Pearline,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,117,146,http://he3.magnatune.com/all/12-Pearline-Jag.mp3
23603,52328,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-four_strings-14-youre_cheatin_on_me-88-117.mp3,14,You're Cheatin' On Me,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,88,117,http://he3.magnatune.com/all/14-You're%20Cheatin'%20On%20Me-Jag.mp3
24083,53525,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-16-baby_dont_say_that-88-117.mp3,16,Baby Don't Say That,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,88,117,http://he3.magnatune.com/all/16-Baby%20Don't%20Say%20That-Jag.mp3
19499,42856,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/tom_paul-there_is_no_map-10-guess_i_didnt_try-146-175.mp3,10,Guess I didn't try,Tom Paul,There is no map,http://www.magnatune.com/artists/albums/tompaul-nomap/,146,175,http://he3.magnatune.com/all/10-Guess%20I%20didn't%20try-Tom%20Paul.mp3
24646,55112,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/john_williams-long_ride_home-18-dog_dont_hunt-59-88.mp3,18,Dog Don't Hunt,John Williams,Long Ride Home,http://www.magnatune.com/artists/albums/williams-long/,59,88,http://he3.magnatune.com/all/18-Dog%20Don't%20Hunt-John%20Williams.mp3
8145,17903,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-04-guitar_rag-175-204.mp3,4,Guitar Rag,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,175,204,http://he3.magnatune.com/all/04-Guitar%20Rag-Jag.mp3
5358,11684,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-03-aunt_louise-146-175.mp3,3,Aunt Louise,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,146,175,http://he3.magnatune.com/all/03-Aunt%20Louise-John%20Williams.mp3
11919,26184,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-06-boogie_in_e-0-29.mp3,6,Boogie In E,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,0,29,http://he3.magnatune.com/all/06-Boogie%20In%20E-Jag.mp3
11168,24535,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/william_brooks-fowl_mouth-05-so_much_to_do-146-175.mp3,5,So Much To Do,William Brooks,Fowl Mouth,http://www.magnatune.com/artists/albums/wbrooks-fowl/,146,175,http://he3.magnatune.com/all/05-So%20Much%20To%20Do-William%20Brooks.mp3
24874,55772,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-four_strings-19-helena_street_corner_blues-30-59.mp3,19,Helena Street Corner Blues,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/19-Helena%20Street%20Corner%20Blues-Jag.mp3
24374,54355,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-17-dog_leg-88-117.mp3,17,Dog Leg,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,88,117,http://he3.magnatune.com/all/17-Dog%20Leg-John%20Williams.mp3
16344,35848,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/domased-slowdown-08-ice_flowers_on_the_window-349-378.mp3,8,Ice Flowers On The Window,Domased,Slowdown,http://www.magnatune.com/artists/albums/domased-slowdown/,349,378,http://he3.magnatune.com/all/08-Ice%20Flowers%20On%20The%20Window-Domased.mp3
19270,42310,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/duo_chambure-vihuela_duets_of_valderrabano-10-contrapunto_sobre_el_tenor_de_la_baxa_enriguez_de_valderrabano-30-59.mp3,10,Contrapunto sobre el tenor de la baxa (Enriguez de Valderrabano),Duo Chambure,Vihuela Duets of Valderrabano,http://www.magnatune.com/artists/albums/chambure-valderrabano/,30,59,http://he3.magnatune.com/all/10-Contrapunto%20sobre%20el%20tenor%20de%20la%20baxa%20(Enriguez%20de%20Valderrabano)-Duo%20Chambure.mp3
8885,19422,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/cheryl_ann_fulton-the_once_and_future_harp-04-romanesca-59-88.mp3,4,Romanesca,Cheryl Ann Fulton,The Once and Future Harp,http://www.magnatune.com/artists/albums/fulton-once/,59,88,http://he3.magnatune.com/all/04-Romanesca-Cheryl%20Ann%20Fulton.mp3
7143,15573,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/jesse_manno-sea_spirits-03-the_fire_circle-0-29.mp3,3,The Fire Circle,Jesse Manno,Sea Spirits,http://www.magnatune.com/artists/albums/manno-sea/,0,29,http://he3.magnatune.com/all/03-The%20Fire%20Circle-Jesse%20Manno.mp3
24917,55917,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-19-prelude_and_fugue_no__22_in_bflat_minor_bwv_891_praeludium-59-88.mp3,19,Prelude And Fugue No. 22 In B-Flat Minor BWV 891_ Praeludium,Daniel Ben Pienaar,Book 2 CD2 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2b/,59,88,http://he3.magnatune.com/all/19-Prelude%20And%20Fugue%20No.%2022%20In%20B-Flat%20Minor%20BWV%20891_%20Praeludium-Daniel%20Ben%20Pienaar.mp3
408,911,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/claire_fitch-ambiencellist_part_ii-01-cellosphere-175-204.mp3,1,Cellosphere,Claire Fitch,Ambiencellist Part II,http://www.magnatune.com/artists/albums/fitch-amb2/,175,204,http://he3.magnatune.com/all/01-Cellosphere-Claire%20Fitch.mp3
1934,4154,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/etherfysh-box_of_fysh-01-sanctuary-175-204.mp3,1,Sanctuary,Etherfysh,Box of Fysh,http://www.magnatune.com/artists/albums/etherfysh-box/,175,204,http://he3.magnatune.com/all/01-Sanctuary-Etherfysh.mp3
10620,23321,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/claire_fitch-ambiencellist_part_ii-05-longest_day-0-29.mp3,5,Longest Day,Claire Fitch,Ambiencellist Part II,http://www.magnatune.com/artists/albums/fitch-amb2/,0,29,http://he3.magnatune.com/all/05-Longest%20Day-Claire%20Fitch.mp3
8849,19356,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/etherfysh-box_of_fysh-04-rama-1219-1248.mp3,4,Rama,Etherfysh,Box of Fysh,http://www.magnatune.com/artists/albums/etherfysh-box/,1219,1248,http://he3.magnatune.com/all/04-Rama-Etherfysh.mp3
23780,52756,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/asteria-soyes_loyal-15-jamais_tante_lute_gilles_binchois-0-29.mp3,15,Jamais Tante (Lute) (Gilles Binchois),Asteria,Soyes Loyal,http://www.magnatune.com/artists/albums/asteria-soyes/,0,29,http://he3.magnatune.com/all/15-Jamais%20Tante%20(Lute)%20(Gilles%20Binchois)-Asteria.mp3
14046,30889,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/philharmonia_baroque-mozart_orchestral_works-07-concerto_for_flute_and_harp_in_c_major_kv299_rondo-175-204.mp3,7,Concerto for Flute and Harp in C major KV299 (Rondo),Philharmonia Baroque,Mozart Orchestral Works,http://www.magnatune.com/artists/albums/pb-mozart/,175,204,http://he3.magnatune.com/all/07-Concerto%20for%20Flute%20and%20Harp%20in%20C%20major%20KV299%20(Rondo)-Philharmonia%20Baroque.mp3
24686,55236,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/american_bach_soloists-j_s__bach__favorite_cantatas-18-komm_in_mein_herzenshaus-0-29.mp3,18,Komm in mein Herzenshaus,American Bach Soloists,J.S. Bach - Favorite Cantatas,http://www.magnatune.com/artists/albums/abs-favoritecantatas/,0,29,http://he3.magnatune.com/all/18-Komm%20in%20mein%20Herzenshaus-American%20Bach%20Soloists.mp3
15072,32966,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/antiguru-fall_submissions-07-rectify-233-262.mp3,7,Rectify,AntiGuru,Fall Submissions,http://www.magnatune.com/artists/albums/antiguru-fall/,233,262,http://he3.magnatune.com/all/07-Rectify-AntiGuru.mp3
14475,31736,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/tilopa-out_of_the_blue-07-heeyahoa-30-59.mp3,7,Heeyahoa,Tilopa,Out of the Blue,http://www.magnatune.com/artists/albums/tilopa-outblue/,30,59,http://he3.magnatune.com/all/07-Heeyahoa-Tilopa.mp3
8434,18480,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/swar_prabhat-designer_bliss-04-madhurashtakam-0-29.mp3,4,Madhurashtakam,Swar Prabhat,Designer Bliss,http://www.magnatune.com/artists/albums/parte-designer/,0,29,http://he3.magnatune.com/all/04-Madhurashtakam-Swar%20Prabhat.mp3
11286,24835,D:/Research/Data/MIR/MagnaTagATune/mp3_full/1/jeff_wahl-guinevere-05-starting_over-146-175.mp3,5,Starting over,Jeff Wahl,Guinevere,http://www.magnatune.com/artists/albums/wahl-guinevere/,146,175,http://he3.magnatune.com/all/05-Starting%20over-Jeff%20Wahl.mp3
1109,2475,D:/Research/Data/MIR/MagnaTagATune/mp3_full/1/jeff_wahl-guinevere-01-loopoplane-59-88.mp3,1,Loop-o-plane,Jeff Wahl,Guinevere,http://www.magnatune.com/artists/albums/wahl-guinevere/,59,88,http://he3.magnatune.com/all/01-Loop-o-plane-Jeff%20Wahl.mp3
25249,56949,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/da_camera-a_celtic_celebration-22-cock_up_your_beaver_carolan-88-117.mp3,22,Cock Up Your Beaver (Carolan),Da Camera,A Celtic Celebration,http://www.magnatune.com/artists/albums/dacamera-celtic/,88,117,http://he3.magnatune.com/all/22-Cock%20Up%20Your%20Beaver%20(Carolan)-Da%20Camera.mp3
14251,31305,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/paul_avgerinos-words_touch-07-empress-233-262.mp3,7,Empress,Paul Avgerinos,Words Touch,http://www.magnatune.com/artists/albums/avgerinos-words/,233,262,http://he3.magnatune.com/all/07-Empress-Paul%20Avgerinos.mp3
17568,38530,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/falling_you-human-09-an_angel_ameliorate-146-175.mp3,9,An Angel Ameliorate,Falling You,Human,http://www.magnatune.com/artists/albums/fallingyou-human/,146,175,http://he3.magnatune.com/all/09-An%20Angel%20Ameliorate-Falling%20You.mp3
12641,27766,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/chris_harvey-the_white_sail-06-liber_null__part_2-30-59.mp3,6,Liber Null - Part 2,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,30,59,http://he3.magnatune.com/all/06-Liber%20Null%20-%20Part%202-Chris%20Harvey.mp3
21427,47116,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/c__layne-potemkin_villages-11-the_death_of_a_mailman-233-262.mp3,11,The death of a mailman,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,233,262,http://he3.magnatune.com/all/11-The%20death%20of%20a%20mailman-C.%20Layne.mp3
7626,16722,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/rapoon-tin_of_drum-04-between_the_hours-59-88.mp3,4,Between the hours,Rapoon,Tin of Drum,http://www.magnatune.com/artists/albums/rapoon-tindrum/,59,88,http://he3.magnatune.com/all/04-Between%20the%20hours-Rapoon.mp3
2933,6356,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/shiva_in_exile-ethnic-02-breathing-146-175.mp3,2,Breathing,Shiva In Exile,Ethnic,http://www.magnatune.com/artists/albums/shiva-ethnic/,146,175,http://he3.magnatune.com/all/02-Breathing-Shiva%20In%20Exile.mp3
4073,8885,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/musica_franca-corrette__le_phenix__les_delices_de_la_solitude-02-phenix__adagio-59-88.mp3,2,Phenix - Adagio,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,http://www.magnatune.com/artists/albums/franca-corrette/,59,88,http://he3.magnatune.com/all/02-Phenix%20-%20Adagio-Musica%20Franca.mp3
1978,4268,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/elizabeth_wolff-moments_musicaux-01-sergei_rachmaninoff__6_moments_musicaux_op__16__andantino-117-146.mp3,1,Sergei Rachmaninoff - 6 Moments Musicaux Op. 16 - Andantino,Elizabeth Wolff,Moments Musicaux,http://www.magnatune.com/artists/albums/wolff-moments/,117,146,http://he3.magnatune.com/all/01-Sergei%20Rachmaninoff%20-%206%20Moments%20Musicaux%20Op.%2016%20-%20Andantino-Elizabeth%20Wolff.mp3
22627,49860,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/farallon_recorder_quartet-ludwig_senfl-13-ecce_quam_bonum-204-233.mp3,13,Ecce quam bonum,Farallon Recorder Quartet,Ludwig Senfl,http://www.magnatune.com/artists/albums/farallon-senfl/,204,233,http://he3.magnatune.com/all/13-Ecce%20quam%20bonum-Farallon%20Recorder%20Quartet.mp3
3342,7403,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/tim_rayborn-chordae-02-fors_souvenir-146-175.mp3,2,Fors souvenir,Tim Rayborn,Chordae,http://www.magnatune.com/artists/albums/rayborn-chordae/,146,175,http://he3.magnatune.com/all/02-Fors%20souvenir-Tim%20Rayborn.mp3
16797,36872,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/chris_harvey-the_white_sail-08-plasmate-117-146.mp3,8,Plasmate,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,117,146,http://he3.magnatune.com/all/08-Plasmate-Chris%20Harvey.mp3
15183,33166,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/lisa_debenedictis-fruitless-07-sidetrack-175-204.mp3,7,Sidetrack,Lisa DeBenedictis,Fruitless,http://www.magnatune.com/artists/albums/debenedictis-fruitless/,175,204,http://he3.magnatune.com/all/07-Sidetrack-Lisa%20DeBenedictis.mp3
12658,27800,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/satori-healing_sounds_of_tibet-06-light_ningmaga-378-407.mp3,6,Light Ning-Ma-Ga,Satori,Healing Sounds of Tibet,http://www.magnatune.com/artists/albums/satori-tibet/,378,407,http://he3.magnatune.com/all/06-Light%20Ning-Ma-Ga-Satori.mp3
15010,32837,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/voices_of_music-an_evening_with_bach-07-prelude_in_c_minor_bwv_871-0-29.mp3,7,Prelude in C Minor (BWV 871),Voices of Music,An Evening With Bach,http://www.magnatune.com/artists/albums/voicesofmusic-bach/,0,29,http://he3.magnatune.com/all/07-Prelude%20in%20C%20Minor%20(BWV%20871)-Voices%20of%20Music.mp3
20962,46088,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/norine_braun-modern_anguish-11-love_and_not_fear-0-29.mp3,11,Love and Not Fear,Norine Braun,Modern Anguish,http://www.magnatune.com/artists/albums/braun-modern/,0,29,http://he3.magnatune.com/all/11-Love%20and%20Not%20Fear-Norine%20Braun.mp3
13522,29666,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/c__layne-potemkin_villages-06-thinking_of_you-30-59.mp3,6,Thinking of you,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,30,59,http://he3.magnatune.com/all/06-Thinking%20of%20you-C.%20Layne.mp3
